lng,lat,name,strasse,hausnr,plz,ort,anlage,kategorie,zugaenglichkeit,beschreibung,website
8.73120479627017,47.3452519923572,Kindergarten Oberuster,Aathalstrasse,35,8610,Uster,Schulanlage Oberuster,Schule: Kindergarten,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=354
8.73022540375151,47.3450390757715,Spielgruppe Summervogel,Aathalstrasse,38a,8610,Uster,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.spielgruppesummervogel.ch
8.71500890507345,47.3454564463269,KiTa Chinderchram,Apothekerstrasse,18,8610,Uster,,Kinderbetreuung: nicht-FEB-Kita,Räumlichkeiten,,
8.72190918313946,47.3501441976937,Spielgruppe Spielchischte Uster,Asylstrasse,2,8610,Uster,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.spielchischte-uster.ch
8.72623987661984,47.3516149497538,Kinderkrippe Beluga,Asylstrasse,24,8610,Uster,,Kinderbetreuung: FEB-Kita,Räumlichkeiten,,
8.71890505452578,47.348535038282,Sozialberatung,Bahnhofstrasse,17,8610,Uster,Stadthaus,Anlaufstelle: Sozialberatung,Räumlichkeiten,,
8.71890505452578,47.348535038282,"Fachstelle Kindheit, Jugend und Familie",Bahnhofstrasse,17,8610,Uster,Stadthaus,"Anlaufstelle: Kindheit, Jugend und Familie",Räumlichkeiten,,
8.71672585873746,47.3510263540382,Bibliothek Uster,Bankstrasse,17,8610,Uster,,Freizeitanlage: Bibliothek/Ludothek,Räumlichkeiten,,https://www.uster.ch/stadtundregionalbibliothek
8.72632129338332,47.3404474071217,Kindergarten Nossikon,Blindenholzstrasse,5,8610,Uster,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=1003
8.71990052959141,47.3485310582727,Kinderkrippe Fugu,Braschlergasse,8,8610,Uster,,Kinderbetreuung: nicht-FEB-Kita,Räumlichkeiten,,
8.7198863947912,47.3501924943693,biz Uster,Brunnenstrasse,1,8610,Uster,,"Anlaufstelle: Kindheit, Jugend und Familie",Räumlichkeiten,,
8.71835678863041,47.3546115046347,Kindergarten Brunnenwiese,Brunnenwiesenstrasse,32,8610,Uster,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=346
